System,Subsystem,Mantrac,Milestone,Total,Closed,Open,Elec Open,Instr Open,Completion %,Punch A,Punch B,Punch C
"PS5-61 - Power distribution (HV, LV)",PS5-61-07 - 0.4kV Switchboard EITS Building (PS5-61-IK-0001),,PS5 - Milestone A,55,17,38,38,0,30.9,0,0,0
PS5-91 - Multicore cables & JB,PS5-91-01 - Multicore cables & JB,YES / YES,PS5 - Milestone A,64,0,64,0,64,0.0,0,0,0
PS5-06 - Auxiliaries power generation/distribution (UPS),PS5-06-02 - AC UPS - Power Generator Building,,PS5 - Milestone B,6,0,6,4,2,0.0,0,0,0
PS5-60 - Main Power Generation,PS5-60-01 - Power Generation Package A,YES / YES,PS5 - Milestone B,10,0,10,10,0,0.0,0,0,0
PS5-60 - Main Power Generation,PS5-60-02 - Power Gen Package A (UCP),YES / YES,PS5 - Milestone B,4,0,4,0,4,0.0,0,0,0
PS5-60 - Main Power Generation,PS5-60-04 - Power Generation Package B,YES / YES,PS5 - Milestone B,10,0,10,10,0,0.0,0,0,0
PS5-60 - Main Power Generation,PS5-60-05 - Power Gen Package B (UCP),YES / YES,PS5 - Milestone B,4,0,4,0,4,0.0,0,0,0
PS5-60 - Main Power Generation,PS5-60-22 - Power Gen Master UCP,YES / YES,PS5 - Milestone B,8,0,8,5,3,0.0,0,0,0
"PS5-61 - Power distribution (HV, LV)",PS5-61-05 - 0.4kV Switchboard Power Generator Building (PS5-61-IK-0003),,PS5 - Milestone B,16,0,16,16,0,0.0,0,0,0
PS5-62 - Lighting,PS5-62-06 - CRO Generator Building Emergency Lighting DB  - PS5-05-IG-0025,,PS5 - Milestone B,1,0,1,1,0,0.0,0,0,0
PS5-62 - Lighting,PS5-62-07 - CRO Generator Electrical Building Emergency Lighting DB  - PS5-05-IG-0026,,PS5 - Milestone B,1,0,1,1,0,0.0,0,0,0
PS5-62 - Lighting,PS5-62-10 - CRO Generator Building Normal L&SP DB  - PS5-61-IG-0015,,PS5 - Milestone B,1,0,1,1,0,0.0,0,0,0
PS5-62 - Lighting,PS5-62-11 - CRO Generator Electrical Building Normal L&SP DB  - PS5-61-IG-0016,,PS5 - Milestone B,1,0,1,1,0,0.0,0,0,0
PS5-71 - Fuel Oil / Diesel Oil,PS5-71-21 - Diesel Transfer Pump A/B,YES / YES,PS5 - Milestone B,4,0,4,4,0,0.0,0,0,0
PS5-71 - Fuel Oil / Diesel Oil,PS5-71-23 - Diesel Fuel Pre Pressure Module (UCP),YES / YES,PS5 - Milestone B,3,0,3,0,3,0.0,0,0,0
PS5-01 - Fire Fighting Generation / Distribution,PS5-01-01 - Fire Water Jockey Pump A/B,,PS5 - Milestone C,8,0,8,4,4,0.0,0,0,0
PS5-01 - Fire Fighting Generation / Distribution,PS5-01-02 - Fire Water Pump A,,PS5 - Milestone C,4,0,4,2,2,0.0,0,0,0
