PL ID,Status,Category,Discipline,Description,Subsystem,Milestone
PL-000073,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-01 - Power Generation Package A,PS5 - Milestone B
PL-000074,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-04 - Power Generation Package B,PS5 - Milestone B
PL-000075,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000076,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000077,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-13 - Power Generation Package E,PS5 - Milestone D
PL-000078,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-16 - Power Generation Package F,PS5 - Milestone D
PL-000079,Originated,C,M,Gen-Set nameplate and equipment tagging not complete.,PS5-60-19 - Power Generation Package G,PS5 - Milestone E
PL-000170,Originated,C,M,CE mark not present on pump skid.,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-000171,Originated,C,M,CE mark not present on pump skid.,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-000172,Originated,C,M,CE mark not present on pump skid.,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-000173,Originated,A,M,Thermowells are to be replaced.,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-000174,Originated,A,M,Thermowells are to be replaced.,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-000175,Originated,A,M,Thermowells are to be replaced.,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-000176,Originated,B,M,PS5-25-LIT-3101A: Sunshade is damaged.,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-000177,Originated,B,M,Sunshade has chips and appears to be damaged - Local to PS5-25-BI-1274C.,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-000178,Closed,0,M,PS5-25-BE-0001C: Stopping plugs installed into side of MTB frame do not have legible Ex markings,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-000327,Closed,A,M,2: DAMAGED AIR FILTERS.,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000329,Closed,A,M,4:OIL LEAKAGE FROM GENERATOR BEARING LUBRICATION PUMP TUBING.,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000330,Originated,B,M,4.1:CABLE PROTECTION IS DAMAGED,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000331,Closed,A,M,4.2:OIL LEAKAGE FROM DRAINING POINT,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000332,Closed,A,M,4.3: RUST IN SEVERAL AREAS OF GENSET AND PRESENCE OF PIN HOLES IN WELDING.,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000333,Originated,C,M,4.4:PAINT DAMAGED FROM LIFTING POINTS,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-000334,Closed,A,M,4:LEAKAGE FROM FUEL FILTER.,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000335,Originated,C,M,4.1:THE FUEL FILTER CONNECTING THREAD IS CORRODED,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000336,Originated,A,M,4.2:THE BOTTOM HOLE ASSESORY IS DAMAGED,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000337,Closed,A,M,4.3: TRANSMITTER ROD IS BEND AND OIL LEAKING,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000338,Closed,A,M,4.4:OIL LEAKAGE FROM DRAINING POINT,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000339,Originated,C,M,4.5:GENERATOR PAINT IRREGULARITY.,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000340,Originated,C,M,4.6:BENDING OF THE HEAD CONNECTING PIPE IN ENGINE.,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000341,Originated,C,M,4.7: RUST IN MULTIPLE LOCATIONS,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000342,Originated,C,M,4.8:LIFTING POINT PAINT DAMAGE,PS5-60-07 - Power Generation Package C,PS5 - Milestone D
PL-000343,Closed,A,M,"4:OIL LEAKAGE FROM SEVERAL PLACES OF GENERATOR.(TUBINGS,JOINTS)",PS5-60-04 - Power Generation Package B,PS5 - Milestone B
