Milestone,Total,Closed,Started,Pending,Completion %
PS5 - Milestone A,2497,1855,6,600,74.29
PS5 - Milestone B,2240,813,8,1412,36.29
PS5 - Milestone C,1999,637,5,1343,31.87
PS5 - Milestone D,4295,1151,4,3122,26.8
PS5 - Milestone E,2074,404,2,1660,19.48
PS5 - Milestone F,3014,411,6,2595,13.64
PS5 - Milestone G,1378,387,4,980,28.08
PS5 - Milestone H,4706,909,6,3778,19.32
PS5 - Milestone I,1051,82,2,960,7.8
PS6 - Milestone A,426,266,0,160,62.44
PS6 - Milestone B,684,433,1,250,63.3
PS6 - Milestone C,1351,643,2,706,47.59
PS6 - Milestone D,1019,330,1,687,32.38
PS6 - Milestone E,3752,1599,7,2142,42.62
PS6 - Milestone F,1255,206,2,1047,16.41
PS6 - Milestone G,285,40,3,242,14.04
